paper_id,concept
2063870,"Hybrid electric vehicle"
2063870,"Statistical model"
2063870,Autocorrelation
2063870,"Time series"
2063870,"Information retrieval"
2398427,"Ontology (information science)"
2398427,"World Wide Web"
2398427,"Schema matching"
2398427,"Data element"
2398427,"Database schema"
2398427,"Semantic Web"
2398427,"Data integrity"
1646148,Database
1646148,Frequency
1646148,"Data set"
1646148,"Four-dimensional space"
1646148,"Vector field"
1871515,Collaboration
1871515,Team
1871515,"Assignment problem"
1871515,"Computational complexity theory"
1871515,Internet
1321488,"Contextual advertising"
1321488,"Just-in-time compilation"
1321488,"Online advertising"
1321488,JavaScript
1321488,"Web page"
1321488,"Static web page"
1321488,"Uniform Resource Locator"
1321488,Byte
1316881,"Ensemble learning"
1316881,"Intrusion detection system"
1316881,"Statistical classification"
1316881,"False alarm"
1316881,"Feature (computer vision)"
1316881,"Computer security"
1316881,"Computer network"
221321,"Data mining"
221321,"Domain knowledge"
2661928,"Inverted index"
2661928,Phrase
2661928,"Query optimization"
2661928,"Stop words"
2661928,"Plagiarism detection"
2661928,"Text mining"
2661928,"NP (complexity)"
2661928,"Unique key"
1646267,"Collaborative filtering"
1646267,"Web search query"
1646267,"Clickthrough rate"
1646267,"Web search engine"
1646267,Ranking
2063662,"Cluster analysis"
2063662,"Web search engine"
2063662,"World Wide Web"
2063662,Wiki
2063662,Annotation
2063662,Utility
2063662,"Graphical user interface"
2661991,"Service-oriented architecture"
2661991,LinkedIn
2661991,"Greedy algorithm"
2661991,NP-complete
2661991,"Latency (engineering)"
2661991,"Loss function"
2661991,"Social network"
2661991,"Software framework"
1458301,Privacy
2063954,"Statistical classification"
2063954,"User-generated content"
2063954,"Sampling bias"
2063954,"Multiclass classification"
2063954,Wikipedia
2063954,"World Wide Web"
170122,"Statistical mechanics"
170122,"Dynamical system"
170122,Database
170122,"Multilevel security"
170122,"Deductive reasoning"
2063926,"Relational database"
2063926,"Mutual information"
2063926,"Unsupervised learning"
2063926,"Feature extraction"
2063926,"Regularization (mathematics)"
2063926,"Data mining"
2063926,"Feature vector"
2063926,"Information theory"
238565,"Programming language"
238565,Database
1031244,"Unstructured data"
1031244,"Problem solving"
1031244,"Data management"
1031244,"Knowledge management"
1031244,"Key (cryptography)"
1183726,"Cluster analysis"
1183726,Hyperlink
1183726,"Web document"
1183726,"Data set"
1321550,"Efficiency (statistics)"
1321550,"Computer data storage"
1321550,"Analysis of algorithms"
1321550,Input/output
1321550,"Central processing unit"
1321552,"Anomaly detection"
1321552,Statistics
1321552,"Data stream"
1183645,"Information retrieval"
1183645,Pruning
1183645,"Blended mode"
1183645,"World Wide Web"
1183645,Semantics
1871970,"Information retrieval"
1871970,"Bilingual dictionary"
1871970,Tf¿idf
1871970,"Precision and recall"
1871970,"Compound (linguistics)"
1871970,"Noun phrase"
1871970,"Machine translation"
1458325,"Statistical population"
1458325,"Random variable"
1458325,Metaheuristic
1458325,"Confidence interval"
1458325,NP-hard
1458325,"Upper and lower bounds"
1458325,"Partition (number theory)"
1646055,"Signal-to-noise ratio"
1646055,"Film score"
1646055,"Normalization (statistics)"
1646055,"Estimation theory"
1646055,"Mixture model"
1646055,"Information retrieval"
1646055,"Metasearch engine"
1646055,"Relevance (information retrieval)"
2398749,"Web application"
2398749,"Cloud computing"
2398749,"Amazon Web Services"
2398749,"Software as a service"
2398749,"Resource Description Framework"
2398749,"Uploading and downloading"
2398749,"World Wide Web"
2661909,"Pointing device gesture"
2661909,"Web content"
2661909,"Scientific method"
2661909,"Affect (psychology)"
2661909,"Correlation and dependence"
191307,"Spatial database"
191307,"Hash table"
191307,Quadtree
191307,"Tree (data structure)"
191307,"Data structure"
191307,Rectangle
191307,"R (programming language)"
2662027,"Faceted search"
2662027,"Resource Description Framework"
2662027,SPARQL
2662027,"Web Ontology Language"
2662027,"Query language"
2662027,"First-order logic"
2662027,Scalability
191318,"Distributed database"
191318,"User (computing)"
191318,Cache
2398432,"Aggregate data"
2398432,Sense
2398432,"Affect (psychology)"
2398432,Consistency
2398432,"Web search engine"
2661930,"Web search engine"
2661930,Crowdsourcing
2661930,Sense
2661930,"Spillover effect"
2661930,News
2661930,Video
2505693,"Aggregate data"
2505693,"Qualitative property"
2505693,Thumbnail
2505693,"Web search engine"
2505693,Crowdsourcing
2505693,Laboratory
2505693,"Vertical search"
2063611,"Web search engine"
2063611,"Aggregate data"
2063611,"World Wide Web"
2063611,"Conceptual model"
1646031,"Special Interest Group on Information Retrieval"
1646031,"Text Retrieval Conference"
1646031,Terabyte
1646031,"Information retrieval"
1646031,"Statistical significance"
1646031,"World Wide Web"
1646031,Database
1458253,"Semi-supervised learning"
1458253,"Feature (machine learning)"
1458253,"Protein structure"
1458253,Frequency
1458253,Prediction
1458253,"Conditional probability distribution"
2398420,"Market research"
2398420,"Positioning (marketing)"
2398420,"Promotion (marketing)"
2398420,"Market segmentation"
2398420,Personalization
2398420,Advertising
1099561,"Scientific method"
1099561,"Information retrieval"
1099561,XML
1099561,Contextualization
1099561,"Knowledge representation and reasoning"
1099561,Relevance
1099561,Presentation
1099561,Probability
1458350,"Chemical element"
1458350,XML
2398656,"Bloom filter"
2398656,"Web search engine"
2398656,"Machine learning"
2398656,Ranking
2398656,Effectiveness
2398656,"Conjunctive query"
2398656,"Scoring functions for docking"
1645965,"Clickthrough rate"
1645965,Brand
1645965,Advertising
1645965,"Web search engine"
1645965,"Query string"
2398563,"Scientific modelling"
2398563,"Data analysis"
2398563,"Conceptual model"
2398563,Insight
2398563,"Statistical model"
2398563,"Job performance"
354833,"Filter feeder"
354833,"Star cluster"
288659,"Dynamic program analysis"
288659,"Static program analysis"
288659,"Star cluster"
1099721,"Interpretation (logic)"
1099721,Geometry
1099721,Curve
1099721,"Information retrieval"
1099721,"Correlation and dependence"
1321529,Inference
1321529,"Complete information"
1321529,"Sampling (statistics)"
1321529,"Correlation and dependence"
1321529,"Information retrieval"
1321529,Estimator
1458467,"Calculus of variations"
1458467,"Latent Dirichlet allocation"
1458467,"Gibbs sampling"
1458467,Literature
1458467,"Topic model"
1458467,"Bayesian inference"
1458467,Prediction
1458467,Inference
1183647,Voxel
1183647,"3D modeling"
1183647,"String (computer science)"
1183647,"Statistical classification"
1183647,"3D computer graphics"
1183647,"Feature vector"
1183647,"Feature (computer vision)"
2507862,Microblogging
2507862,Peer-to-peer
2507862,Twitter
2507862,"Social networking service"
2507862,"Bandwidth (signal processing)"
2507862,Decentralization
2507862,"Node (networking)"
2507862,"Social network"
2668049,"Exploratory search"
2668049,"Modeling language"
2668049,"Information society"
2668049,"Human¿computer interaction"
2668049,"Information retrieval"
2668049,"User interface"
2668049,"World Wide Web"
2661904,"Exploratory search"
2661904,"Sensitivity and specificity"
2661904,"Information foraging"
2661904,"Information needs"
2661904,Subjectivity
2661904,Observable
1458582,"Prior art"
1458582,Patent
1458582,"Natural language"
1458582,Vocabulary
1458582,"Information retrieval"
1458582,Grammar
1458582,Analytics
2065033,"Social media"
2065033,"Social bookmarking"
2065033,"Social system"
2065033,"Secondary data"
2065033,Personalization
2065033,"User-generated content"
2065033,"Data analysis"
2064020,"Semantic desktop"
2064020,"Desktop environment"
2064020,"File manager"
2064020,Metadata
2064020,"Computer file"
2064020,"Portable Document Format"
2064020,"Semantic integration"
2064020,Bibliography
2661912,"Information retrieval"
2661912,"Web search query"
2661912,"World Wide Web"
2661913,"Relevance (information retrieval)"
2661913,"Information retrieval"
2661913,Prediction
2661913,"Web page"
2661913,Tradition
2505580,"Image retrieval"
2505580,"Association rule learning"
2505580,"Information retrieval"
2505580,"Medical imaging"
2505580,"Decision tree learning"
2505580,"Digital image"
2505580,"Feature (computer vision)"
2505580,"Decision support system"
170480,"Data integration"
170480,"Database schema"
170480,"Concept learning"
502593,Archive
502593,"Self-organizing map"
502593,Map
502593,"Dimension reduction"
502593,"Weight distribution"
2396826,"Display advertising"
2396826,"Clickthrough rate"
2396826,"Visual arts"
2396826,"Visual appearance"
2396826,"Behavioral targeting"
2396826,"Online advertising"
2396826,Effectiveness
2396826,"Response rate"
1871747,Prediction
1871747,"Data integration"
1871747,"Data set"
1871747,"Ensemble learning"
1871747,"Imputation (statistics)"
1871976,Semantics
1871976,SQR
1871976,"Credit rating"
1871976,"Interpretation (logic)"
1646034,"Information retrieval"
1646034,"Application software"
1646034,"Thermal efficiency"
1646034,Effectiveness
1646034,"User (computing)"
1458157,Effectiveness
1458157,Individual
1458157,"Information retrieval"
2398625,"Statistical classification"
2398625,"Multiclass classification"
2398625,Prediction
2398625,"Cluster analysis"
1321559,"Language model"
1321559,"Relevance (information retrieval)"
1321559,"Likelihood function"
1321559,Probability
2063758,Database
2063758,"Information extraction"
2063758,"Data structure"
2063758,"Data retrieval"
2063758,"Web search engine"
1871971,Definition
1871971,Logic
1871971,"Information extraction"
1183758,"Modeling language"
1183758,"Web search engine"
2063900,Genealogy
2398613,"Anomaly detection"
2398613,Centrality
2398613,"Graph theory"
2398613,Density
2398614,"Language model"
2398614,"Statistical classification"
2398614,Probability
2668050,"Scientific method"
2668050,Word
2668050,"Statistical classification"
2668050,"Web search engine"
2507847,"Big data"
2507847,"Data mining"
2507847,"Solid-state drive"
2396763,"Network effect"
2396763,"Customer engagement"
2396763,"Web analytics"
2396763,"Cognitive psychology"
2396763,"Information science"
2396763,Hyperlink
2396763,"User experience"
2396763,"Human¿computer interaction"
266719,"Block (data storage)"
266719,"Document retrieval"
2505708,"Document classification"
2505708,"Statistical power"
2505708,"Validity (statistics)"
2505708,"F1 score"
2505708,"Confidence interval"
2505708,"Sequential analysis"
2505708,"Training set"
2505708,"Independence (probability theory)"
2398596,"Locality-sensitive hashing"
2398596,"Distributed database"
2398596,"Hash table"
2398596,"Nearest neighbor search"
2398596,Euclid
2398596,"Norm (mathematics)"
2505742,"Social news"
2505742,"Social networking service"
2505742,"Front and back ends"
2505742,Facebook
2505742,"Social network"
2505742,"User (computing)"
2505742,Yahoo!
2505742,"Data transmission"
1183751,"Information retrieval"
1183751,Brain
1183751,"Latent semantic indexing"
1183751,"Inverted index"
1183751,Tf¿idf
1183751,"Human brain"
1183751,"Functional magnetic resonance imaging"
1183751,"Image retrieval"
1458302,"Mission critical"
1458302,Database
1458302,Quarantine
1458302,"Motion capture"
1458302,"Database server"
1458302,"Data corruption"
2063705,Privacy
2063705,Publication
2063705,Cloning
2063705,"Vulnerability (computing)"
2063705,Risk
2063705,Anonymity
2063705,Utility
2505536,"Web Ontology Language"
2505536,"Ontology (information science)"
2505536,Logic
2505536,Entailment
2505536,"Domain of discourse"
2505536,Axiom
2505536,"Equivalence relation"
2505536,Isomorphism
2507872,Semantics
2507872,"Thermal expansion"
2507872,"Query expansion"
2507872,"Information retrieval"
2507872,"Web search engine"
1651288,"Collaborative filtering"
1651288,Peer-to-peer
1651288,MovieLens
1651288,Decentralization
1646227,"Cluster analysis"
1646227,"F1 score"
1646227,"Unsupervised learning"
2398502,"Group buying"
2398502,"Mathematical optimization"
2398502,"Real-time computing"
2398502,"Ad exchange"
2398502,"Real-time bidding"
2398502,"Profit (accounting)"
2398502,Bidding
1646298,"Automatic transmission"
1646298,"World Wide Web"
1646298,Wikipedia
1646298,"Log analysis"
956891,"Information retrieval"
956891,"Cross-language information retrieval"
956891,"Translation (biology)"
956891,Translation
956891,"Empirical research"
956891,"Intermediate language"
2505815,"Information retrieval"
2505815,"Living lab"
2661962,"Living lab"
2661962,Benchmarking
2661962,"Use case"
2661962,"Electronic commerce"
2390150,"Semantic memory"
2390150,Catering
2390150,"Software framework"
2398648,"Federated search"
2398648,DBpedia
2398648,"Natural language"
2398648,"Information retrieval"
2398648,"Data type"
2398648,Ontology
2398648,Annotation
1458148,Evidence
1458148,"Text Retrieval Conference"
1458148,Expert
2398619,"Hash function"
2398619,"Recommender system"
2398619,Scalability
2398619,"User profile"
2398619,"Hamming distance"
2398619,"User-generated content"
2398619,Microblogging
2398619,"Pairwise comparison"
1871537,Sensor
1871537,Ritual
1871537,Testbed
1031236,Peer-to-peer
1031236,"Computer network"
1031236,"Distributed hash table"
1031236,"Peer-to-peer file sharing"
1031236,"Node (networking)"
1031236,"Computer file"
2063946,"Feature selection"
2063946,Privacy
2063946,"Distributed computing"
2063946,"Curse of dimensionality"
2063946,"Dimension reduction"
2063946,"Information privacy"
1646240,"Social media"
1646240,Microblogging
1646240,"Online chat"
1646240,"Text mining"
1646240,"Social networking service"
1646240,Twitter
1646240,Facebook
1646240,"Social network"
1458497,"Question answering"
1458497,"Semantic Web"
1458497,"Latent semantic analysis"
1458497,"Information overload"
1458497,"Information needs"
1458497,"Language model"
1458497,"Information retrieval"
1458497,"Quality assurance"
2512409,"World Wide Web"
2512409,"Windowing system"
2512409,"Inductive reasoning"
2512409,"Data stream"
2663800,Semantics
2663800,Sensor
2663800,SPARQL
2663800,"Linked Data"
2663800,"Web Ontology Language"
2663800,"Resource Description Framework"
2663800,"Semantic Web"
2398659,Annotation
2398659,Semantics
2398659,"Computer vision"
2398659,"Top-down and bottom-up design"
2398659,"Statistical classification"
2505556,"Document classification"
2505556,"Topic model"
2505556,"Conditional probability distribution"
2505556,"Marginal distribution"
2505556,"Training set"
2505556,"Feature vector"
2505556,"Statistical classification"
2505556,"Scientific modelling"
2668046,"Subspace topology"
2668046,"Linear subspace"
2668046,"Anomaly detection"
2668046,"Statistical dispersion"
2668046,"Dimensional analysis"
2398737,"Subject-matter expert"
2398737,Terminology
2398737,"Enterprise search"
2398737,"Web search engine"
2398737,"Programming language"
2398737,Rewriting
2398439,"Relational database"
2398439,Provenance
2398439,"Node (computer science)"
2398439,"Tree (data structure)"
2398439,"Query language"
2398439,"Dynamic programming"
2398439,"Information theory"
2398439,"Time complexity"
1458122,PageRank
1458122,Webgraph
1458122,"Degree (graph theory)"
1458122,"Random walk"
1458122,"Semantic similarity"
1458122,"Approximation algorithm"
1458122,"Graph (mathematics)"
1458122,"Social network"
2505656,Tourism
2505656,"Supervised learning"
2505656,"Regression analysis"
2505656,Prediction
2505656,"Feature vector"
2505656,"Ranking SVM"
2505656,"Dimension (vector space)"
2505744,"Extract, transform, load"
2505744,"Data store"
2505744,MongoDB
2505744,"In-memory database"
2505744,Database
2505744,"Cloud computing"
1871785,Biology
1871785,Literature
1871785,"Academic publishing"
1871785,"Abstract (summary)"
1871785,PubMed
1871785,"Scientific journal"
1871785,"Information retrieval"
584888,"Entropy (information theory)"
584888,"Cluster analysis"
584888,"Level of measurement"
584888,"Data stream"
584888,Metaheuristic
584888,Entropy
584888,"Synthetic data"
2063687,"Language model"
2063687,"Web crawler"
2063687,"Web content"
2063687,"Web page"
2063687,Autocomplete
2063687,"Speech recognition"
2063687,Vocabulary
1183735,"Online database"
2398440,"Data quality"
2398440,Database
2398440,"Entropy (information theory)"
502615,"Semi-structured data"
502615,"Proximity search (text)"
502615,"Chemical structure"
502615,"Index (database)"
502615,"Data model"
502615,"File format"
502615,"Query language"
502615,XML
288662,Mediation
288662,"Heterogeneous computing"
170454,"Distributed database"
170454,"Parallel database"
170454,"Program optimization"
170454,"Site selection"
1458170,"Suffix tree"
1458170,Genome
